年月,縣市,用電性質,售電量(度),用電佔比(%)
11302,嘉義市,服務業,32695065,41.13
11302,嘉義市,農林漁牧,693457,0.87
11302,嘉義市,工業,5948431,7.48
11302,澎湖縣,住宅,13541396,46.47
11302,澎湖縣,服務業,11541902,39.61
11302,澎湖縣,農林漁牧,325551,1.12
11302,澎湖縣,工業,3731216,12.8
11302,金門縣,住宅,10364432,50.74
11302,金門縣,服務業,7550345,36.96
11302,金門縣,農林漁牧,271854,1.33
11302,金門縣,工業,2240553,10.97
11302,連江縣,住宅,2527948,42.15
11302,連江縣,服務業,2800553,46.69
11302,連江縣,農林漁牧,5025,0.08
11302,連江縣,工業,664650,11.08
11301,新北市,住宅,637097035,39.53
11301,新北市,服務業,492169914,30.54
11301,新北市,農林漁牧,2095773,0.13
11301,新北市,工業,480401607,29.81
11301,台北市,住宅,396340867,35.38
11301,台北市,服務業,668903137,59.71
11301,台北市,農林漁牧,261386,0.02
11301,台北市,工業,54681624,4.88
11301,桃園市,住宅,372326657,16.73
11301,桃園市,服務業,327003251,14.7
11301,桃園市,農林漁牧,4167802,0.19
11301,桃園市,工業,1521410190,68.38
11301,台中市,住宅,472185718,17.81
11301,台中市,服務業,438358388,16.54
11301,台中市,農林漁牧,12306366,0.46
11301,台中市,工業,1728184997,65.19
11301,台南市,住宅,307915204,11.78
11301,台南市,服務業,224035577,8.57
11301,台南市,農林漁牧,34809709,1.33
11301,台南市,工業,2047875443,78.32
11301,高雄市,住宅,491082325,20.44
11301,高雄市,服務業,402915859,16.77
11301,高雄市,農林漁牧,22688636,0.94
11301,高雄市,工業,1485579155,61.84
11301,宜蘭縣,住宅,71831086,26.54
11301,宜蘭縣,服務業,62997042,23.27
11301,宜蘭縣,農林漁牧,4953484,1.83
11301,宜蘭縣,工業,130888174,48.36
11301,新竹縣,住宅,98397218,10.99
11301,新竹縣,服務業,76663468,8.56
11301,新竹縣,農林漁牧,1744169,0.19
11301,新竹縣,工業,718864722,80.26
11301,苗栗縣,住宅,85443605,13.65
11301,苗栗縣,服務業,52036216,8.31
11301,苗栗縣,農林漁牧,2345550,0.37
11301,苗栗縣,工業,486011989,77.66
11301,彰化縣,住宅,187194334,22.06
11301,彰化縣,服務業,176449718,20.79
11301,彰化縣,農林漁牧,38459177,4.53
11301,彰化縣,工業,446460596,52.61
11301,南投縣,住宅,66797142,30.26
11301,南投縣,服務業,48098787,21.79
11301,南投縣,農林漁牧,9404710,4.26
11301,南投縣,工業,96439475,43.69
11301,雲林縣,住宅,106861725,24.05
11301,雲林縣,服務業,64278807,14.47
11301,雲林縣,農林漁牧,33149245,7.46
11301,雲林縣,工業,240036628,54.02
11301,嘉義縣,住宅,74279828,30.71
11301,嘉義縣,服務業,39240665,16.22
11301,嘉義縣,農林漁牧,20927099,8.65
11301,嘉義縣,工業,107417812,44.41
11301,屏東縣,住宅,133976214,33.88
11301,屏東縣,服務業,88430324,22.36
11301,屏東縣,農林漁牧,65441067,16.55
11301,屏東縣,工業,107571180,27.2
11301,台東縣,住宅,31547603,42.44
11301,台東縣,服務業,29310706,39.43
11301,台東縣,農林漁牧,2566292,3.45
11301,台東縣,工業,10909001,14.68
11301,花蓮縣,住宅,50289853,27.58
11301,花蓮縣,服務業,50739563,27.83
11301,花蓮縣,農林漁牧,2135991,1.17
11301,花蓮縣,工業,79161395,43.42
11301,基隆市,住宅,51524826,48.55
11301,基隆市,服務業,37330028,35.18
11301,基隆市,農林漁牧,425811,0.4
11301,基隆市,工業,16838856,15.87
11301,新竹市,住宅,85514071,11.83
11301,新竹市,服務業,87383838,12.09
11301,新竹市,農林漁牧,678950,0.09
